Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,RSI,StocOsci,ADMI,VVR,SMA
2007-01-16,35.5,35.52,34.89,35.29,11864400.0,0.0,1.0,21.960292395394,21.97266439111,21.582946526065,21.830386440379,17796600.0,47.265675809212134,62.1714548237249,25.21509134074518,80.67546991995182,22.039384796576645
2007-01-17,34.8,35.01,34.42,34.55,11798867.0,0.0,1.0,21.527272545344,21.657178500359,21.292204626745,21.372622598898,17698300.5,43.195380545344854,67.71115271570088,24.92886787856447,78.63574315541135,21.929804263094642
2007-01-18,34.25,34.25,31.26,31.69,25027267.0,0.0,1.0,21.187042663162,21.187042663162,19.337429303663,19.60342721155,37540900.5,31.79811986593242,31.55131244754962,36.14371888678542,70.73487681051934,21.694294487506216
2007-01-19,31.35,32.54,31.13,31.8795,15710067.0,0.0,1.0,19.393103284383,20.129237029468,19.25701133151,19.720651870957,23565100.5,33.058457079805905,18.52422319950867,44.40426222776452,84.81141723005531,21.44550690937293
2007-01-22,32.18,32.7,31.76,31.88,12177400.0,0.0,1.0,19.906541106585,20.228212995194,19.646729196555,19.72096117085,18266100.0,33.06197194602939,12.582005354875854,48.72391006678682,87.06801961537465,21.208671562815
2007-01-23,31.73,32.4,31.138,31.89,10505867.0,0.0,1.0,19.628171202982,20.042633059458,19.261960129797,19.727147168708,15758800.5,33.13758726793429,10.618442994469461,53.32093072879628,99.61461326067021,20.982440784013356
2007-01-24,32.3,33.31,32.15,32.88,11428667.0,0.0,1.0,19.98077308088,20.605558864523,19.887983113012,20.339560956635,17143000.5,40.32465455452656,28.029348593192417,48.09272620088223,101.77561767768258,20.841046547262287
2007-01-25,33.18,33.3,31.57,31.73,10271400.0,0.0,1.0,20.525140892371,20.599372866665,19.529195237256,19.628171202982,15407100.0,35.545009652958385,16.707826497253663,46.53662416301035,87.76510945305706,20.656350325506285
2007-01-26,32.0,32.31,30.9,31.47,13826400.0,0.0,1.0,19.795193145144,19.986959078738,19.11473338078,19.467335258678,20739600.0,34.547980552820434,10.303956016583832,47.641319579525344,73.60726262960297,20.55958364472986
2007-01-29,31.325,31.35,29.911,30.18,20971400.0,0.0,1.0,19.377638289739,19.393103284383,18.502938192638,18.669341535014,31457100.0,30.04497853605983,2.1910001949467883,51.08342695065285,59.773121841606645,20.394770987516928
2007-01-30,30.38,30.96,30.11,30.76,10602867.0,0.0,1.0,18.793061492171,19.151849367927,18.626039550009,19.02812941077,15904300.5,34.19779635688464,10.043328447152007,53.542075072886774,60.54901199986722,20.284748597045073
2007-01-31,30.61,30.94,30.23,30.65,7799600.0,0.0,1.0,18.935339442902,19.139477372211,18.700271524303,18.960083434333,11699400.0,33.78812327372816,16.283048783878506,55.29825230305387,59.72315405109736,20.09740123334993
2007-02-01,30.36,31.2,30.3,31.04,10848267.0,0.0,1.0,18.780689496455,19.300313316515,18.743573509308,19.20133735079,16272400.5,36.684186920168166,28.586966762425483,53.34544274077061,67.31749426316985,19.933030433126863
2007-02-02,31.21,32.0,30.95,31.85,9776467.0,0.0,1.0,19.306499314373,19.795193145144,19.145663370069,19.702403177276,14664700.5,42.326457715871065,53.10453627015134,43.4787097038416,74.8510650345766,19.783682770558574
2007-02-05,32.0,32.64,31.95,32.37,9665067.0,0.0,1.0,19.795193145144,20.191097008047,19.764263155855,20.024075065885,14497600.5,45.67346568516368,76.33811988117395,31.14690768873398,81.75995550675056,19.654660529523287
2007-02-06,33.1,33.94,32.61,33.52,12923067.0,0.0,1.0,20.475652909508,20.995276729568,20.172539014473,20.735464819538,19384600.5,52.27046586007629,99.62216546442102,29.818755070878357,86.45754500754525,19.609149259569
